antecedent,consequent,support,confidence,lift
"('84997C',)","('84997B', '84997D')",0.010467748019615239,0.4220532319391635,29.836349809885927
"('84997B', '84997D')","('84997C',)",0.010467748019615239,0.74,29.836349809885927
"('21669',)","('21668',)",0.014019866716962153,0.6059782608695652,26.156554185593773
"('21668',)","('21669',)",0.014019866716962153,0.6051560379918589,26.156554185593773
"('22569',)","('22570',)",0.014837168364139319,0.6259946949602122,25.69566869170874
"('22570',)","('22569',)",0.014837168364139319,0.6090322580645161,25.69566869170874
"('23301',)","('23300',)",0.0169432918395574,0.6015625,25.618348393574294
"('23300',)","('23301',)",0.0169432918395574,0.7215528781793842,25.618348393574294
"('84997B', '84997C')","('84997D',)",0.010467748019615239,0.6981132075471698,24.73093247047947
"('84997D',)","('84997B', '84997C')",0.010467748019615239,0.37082405345211583,24.73093247047947
"('84997C',)","('84997D',)",0.0169432918395574,0.6831432192648923,24.200614800951836
"('84997D',)","('84997C',)",0.0169432918395574,0.6002227171492205,24.200614800951836
"('22697', '22699')","('22698',)",0.020998365396705646,0.7076271186440678,23.821199892386332
"('22698',)","('22697', '22699')",0.020998365396705646,0.7068783068783069,23.821199892386332
"('22698', '22699')","('22697',)",0.020998365396705646,0.9039242219215156,23.15268707549698
"('22697',)","('22698', '22699')",0.020998365396705646,0.537842190016103,23.15268707549698
"('84997B',)","('84997C', '84997D')",0.010467748019615239,0.391304347826087,23.094942324755987
"('84997C', '84997D')","('84997B',)",0.010467748019615239,0.6178107606679035,23.094942324755987
"('22423', '22697')","('22698',)",0.013768389287061486,0.6780185758513931,22.82447294707357
"('22698',)","('22423', '22697')",0.013768389287061486,0.4634920634920635,22.82447294707357
"('22423', '22698')","('22697',)",0.013768389287061486,0.8902439024390244,22.80228584894545
"('22697',)","('22423', '22698')",0.013768389287061486,0.3526570048309179,22.80228584894545
"('84997B',)","('84997C',)",0.014994341757827235,0.5605170387779084,22.59970600456631
"('84997C',)","('84997B',)",0.014994341757827235,0.6045627376425855,22.59970600456631
"('22568',)","('22570',)",0.01379982396579907,0.5282791817087846,21.684667520670782
"('22570',)","('22568',)",0.01379982396579907,0.5664516129032258,21.684667520670782
"('22423', '22699')","('22698',)",0.01304539167609707,0.6394453004622496,21.525961797148238
"('22698',)","('22423', '22699')",0.01304539167609707,0.43915343915343913,21.525961797148238
"('22697',)","('22698',)",0.024707657487740474,0.6328502415458938,21.303949083659226
"('22698',)","('22697',)",0.024707657487740474,0.8317460317460318,21.303949083659226
"('22697', '22698')","('22699',)",0.020998365396705646,0.8498727735368957,21.12199427480916
"('22699',)","('22697', '22698')",0.020998365396705646,0.521875,21.12199427480916
"('22699',)","('22423', '22698')",0.01304539167609707,0.32421875,20.963509908536583
"('22423', '22698')","('22699',)",0.01304539167609707,0.8434959349593496,20.963509908536583
"('22569',)","('22568',)",0.01266817553124607,0.5344827586206896,20.46084899788373
"('22568',)","('22569',)",0.01266817553124607,0.48495788206979545,20.46084899788373
"('22697',)","('22423', '22699')",0.016157424871117817,0.4138486312399356,20.28559731433718
"('22423', '22699')","('22697',)",0.016157424871117817,0.7919876733436055,20.28559731433718
"('82483',)","('82482', '82486')",0.010153401232239406,0.2923076923076923,20.259024635495223
"('82482', '82486')","('82483',)",0.010153401232239406,0.7037037037037037,20.259024635495223
"('20974',)","('20975',)",0.013076826354834654,0.5265822784810127,20.01390136563677
"('20975',)","('20974',)",0.013076826354834654,0.4970131421744325,20.01390136563677
"('82551',)","('82552',)",0.011222180309317238,0.48308525033829497,19.804005133713712
"('82552',)","('82551',)",0.011222180309317238,0.46005154639175255,19.804005133713712
"('22423', '22697')","('22699',)",0.016157424871117817,0.7956656346749226,19.774777476780187
"('22699',)","('22423', '22697')",0.016157424871117817,0.4015625,19.774777476780187
"('22865',)","('22866', '22867')",0.012322394065132655,0.3373493975903614,19.65523632993513
"('22866', '22867')","('22865',)",0.012322394065132655,0.717948717948718,19.65523632993513
"('22698',)","('22699',)",0.02323022758707406,0.782010582010582,19.435406746031745
"('22699',)","('22698',)",0.02323022758707406,0.57734375,19.435406746031745
"('22865', '22867')","('22866',)",0.012322394065132655,0.6447368421052632,19.385981494378672
"('22866',)","('22865', '22867')",0.012322394065132655,0.3705103969754253,19.385981494378672
"('22195',)","('22196',)",0.013485477178423237,0.5712383488681758,19.352752240888613
"('22196',)","('22195',)",0.013485477178423237,0.45686900958466453,19.352752240888613
"('22727',)","('22726', '22728')",0.010467748019615239,0.2740740740740741,19.246897228354182
"('22726', '22728')","('22727',)",0.010467748019615239,0.7350993377483444,19.246897228354182
"('82483',)","('82486', '82494L')",0.010436313340877657,0.3004524886877828,19.154297735742983
"('82486', '82494L')","('82483',)",0.010436313340877657,0.6653306613226453,19.154297735742983
"('22867',)","('22865', '22866')",0.012322394065132655,0.3828125,19.028173828125002
"('22865', '22866')","('22867',)",0.012322394065132655,0.6125,19.028173828125002
"('22632',)","('22633',)",0.011788004526593739,0.5040322580645161,18.930666108085465
"('22633',)","('22632',)",0.011788004526593739,0.4427390791027155,18.930666108085465
"('22697',)","('22699',)",0.029674336728278638,0.7600644122383253,18.88997584541063
"('22699',)","('22697',)",0.029674336728278638,0.7375,18.88997584541063
"('84997D',)","('84997B',)",0.014145605431912485,0.5011135857461024,18.73257977644537
"('84997B',)","('84997D',)",0.014145605431912485,0.5287896592244419,18.73257977644537
"('22726',)","('22727', '22728')",0.010467748019615239,0.29159369527145357,18.40511633725294
"('22727', '22728')","('22726',)",0.010467748019615239,0.6607142857142857,18.40511633725294
"('21915',)","('21914',)",0.01247956745882057,0.46650998824911866,18.05427706348049
"('21914',)","('21915',)",0.01247956745882057,0.4829683698296837,18.05427706348049
"('82580',)","('82581',)",0.02046397585816673,0.5015408320493067,17.987617755527108
"('82581',)","('82580',)",0.02046397585816673,0.733934611048478,17.987617755527108
"('22630',)","('22629',)",0.020338237143216396,0.5946691176470589,17.98252278573026
"('22629',)","('22630',)",0.020338237143216396,0.6150190114068441,17.98252278573026
"('82486',)","('82483', '82494L')",0.010436313340877657,0.267741935483871,17.89371103280022
"('82483', '82494L')","('82486',)",0.010436313340877657,0.6974789915966386,17.89371103280022
"('15056N',)","('15056BL',)",0.012165220671444738,0.4143468950749465,17.836540495431933
"('15056BL',)","('15056N',)",0.012165220671444738,0.523680649526387,17.836540495431933
"('82486',)","('82482', '82483')",0.010153401232239406,0.26048387096774195,17.445290322580643
"('82482', '82483')","('82486',)",0.010153401232239406,0.68,17.445290322580643
"('22726', '22727')","('22728',)",0.010467748019615239,0.4506089309878214,17.438894540857145
"('22728',)","('22726', '22727')",0.010467748019615239,0.4051094890510949,17.438894540857145
"('20719',)","('20723', '22355')",0.014994341757827235,0.3803827751196172,17.38611615245009
"('20723', '22355')","('20719',)",0.014994341757827235,0.6853448275862069,17.38611615245009
"('22555',)","('22556',)",0.010813529485728656,0.45144356955380577,16.95551692402086
"('22556',)","('22555',)",0.010813529485728656,0.40613931523022434,16.95551692402086
"('22726',)","('22727',)",0.02323022758707406,0.6471103327495622,16.94310609500335
"('22727',)","('22726',)",0.02323022758707406,0.6082304526748972,16.94310609500335
"('20719',)","('21212', '22355')",0.011033572236891739,0.2799043062200957,16.864234449760765
"('21212', '22355')","('20719',)",0.011033572236891739,0.6647727272727273,16.864234449760765
"('23203',)","('23202',)",0.015214384508990318,0.4286979627989371,16.774587444722986
"('23202',)","('23203',)",0.015214384508990318,0.5953259532595326,16.774587444722986
"('20723',)","('20719', '20724')",0.01606312083490507,0.4010989010989011,16.614268543956047
"('20719', '20724')","('20723',)",0.01606312083490507,0.6653645833333334,16.614268543956047
"('22865',)","('22866',)",0.020118194392053312,0.5507745266781411,16.560717620685278
"('22866',)","('22865',)",0.020118194392053312,0.6049149338374291,16.560717620685278
"('21212', '22356')","('20719',)",0.010342009304664907,0.6463654223968566,16.39727018922552
"('20719',)","('21212', '22356')",0.010342009304664907,0.2623604465709729,16.39727018922552
"('20723',)","('20719', '22356')",0.01370551992958632,0.34222919937205654,16.297897141353086
"('20719', '22356')","('20723',)",0.01370551992958632,0.6526946107784432,16.297897141353086
"('22867',)","('22865',)",0.019112284672450647,0.59375,16.255055938037867
"('22865',)","('22867',)",0.019112284672450647,0.5232358003442341,16.255055938037867
"('22355', '22356')","('20719',)",0.01552873129636615,0.6374193548387097,16.170322580645163
"('20719',)","('22355', '22356')",0.01552873129636615,0.3939393939393939,16.170322580645163
"('20719',)","('20723', '22356')",0.01370551992958632,0.34768740031897927,16.123369648611327
"('20723', '22356')","('20719',)",0.01370551992958632,0.6355685131195336,16.123369648611327
"('22728',)","('22727',)",0.015843078083741986,0.6131386861313869,16.053636117869694
"('22727',)","('22728',)",0.015843078083741986,0.4148148148148148,16.053636117869694
"('22866',)","('22867',)",0.017163334590720482,0.5160680529300568,16.032379784971646
"('22867',)","('22866',)",0.017163334590720482,0.533203125,16.032379784971646
"('20719', '22355')","('20723',)",0.014994341757827235,0.6411290322580645,16.009102648503568
"('20723',)","('20719', '22355')",0.014994341757827235,0.37441130298273156,16.009102648503568
"('20719',)","('20724', '22355')",0.017289073305670817,0.43859649122807015,15.909500090019804
"('20724', '22355')","('20719',)",0.017289073305670817,0.6271379703534777,15.909500090019804
"('22356',)","('20719', '20724')",0.0169432918395574,0.38362989323843416,15.890669483985764
"('20719', '20724')","('22356',)",0.0169432918395574,0.7018229166666666,15.890669483985764
"('20724', '20728')","('22356',)",0.010342009304664907,0.7014925373134329,15.883189037021301
"('22356',)","('20724', '20728')",0.010342009304664907,0.23416370106761566,15.883189037021301
"('20723', '20724')","('22356',)",0.018326417704011066,0.6990407673860911,15.827676079776747
"('22356',)","('20723', '20724')",0.018326417704011066,0.41494661921708187,15.827676079776747
"('20724', '22384')","('22356',)",0.010027662517289074,0.6965065502183406,15.770296352701676
"('22356',)","('20724', '22384')",0.010027662517289074,0.22704626334519573,15.770296352701676
"('20724', '22355')","('20723',)",0.01722620394819565,0.6248574686431014,15.602798895191794
"('20723',)","('20724', '22355')",0.01722620394819565,0.4301412872841444,15.602798895191794
"('23199',)","('23201',)",0.011410788381742738,0.4129692832764505,15.602587695475584
"('23201',)","('23199',)",0.011410788381742738,0.4311163895486936,15.602587695475584
"('20724', '22355')","('22356',)",0.018986545957500316,0.6887115165336374,15.593801255493291
"('22356',)","('20724', '22355')",0.018986545957500316,0.4298932384341637,15.593801255493291
"('20719',)","('20723', '20724')",0.01606312083490507,0.40749601275917063,15.543481004669948
"('20723', '20724')","('20719',)",0.01606312083490507,0.6127098321342925,15.543481004669948
"('22356',)","('20723', '22355')",0.014994341757827235,0.3395017793594306,15.517572708307767
"('20723', '22355')","('22356',)",0.014994341757827235,0.6853448275862069,15.517572708307767
"('22356',)","('20719', '20723')",0.01370551992958632,0.3103202846975089,15.497502192774181
"('20719', '20723')","('22356',)",0.01370551992958632,0.6844583987441131,15.497502192774181
"('22356',)","('20724', '21232')",0.010687790770778322,0.24199288256227758,15.489492112819265
"('20724', '21232')","('22356',)",0.010687790770778322,0.6841046277665996,15.489492112819265
"('20723', '22356')","('20724',)",0.018326417704011066,0.8498542274052479,15.413661734444554
"('20724',)","('20723', '22356')",0.018326417704011066,0.33238312428734323,15.413661734444554
"('20723',)","('22355', '22356')",0.014994341757827235,0.37441130298273156,15.368738542563426
"('22355', '22356')","('20723',)",0.014994341757827235,0.6154838709677419,15.368738542563426
"('22356',)","('20719', '21212')",0.010342009304664907,0.23416370106761566,15.359207543016474
"('20719', '21212')","('22356',)",0.010342009304664907,0.6783505154639176,15.359207543016474
"('22726',)","('22728',)",0.014239909468125235,0.3966725043782837,15.351515461413578
"('22728',)","('22726',)",0.014239909468125235,0.551094890510949,15.351515461413578
